filename,announcement_number,asx_code,exchange,sensitive,headline,rec_type,rec_date,rec_time,rel_date,rel_time,n_pages,rep_types
2024030102779989,2A1508849,SUL,2,N,Change of Auditor,E,2024-03-01,0 days 07:56:29,2024-03-01,0 days 08:26:48,1,['12018']
2024030102779990,2A1508857,ARA,2,N,Update - Notification of buy-back - ARA,E,2024-03-01,0 days 08:20:39,2024-03-01,0 days 08:26:58,5,['06011']
2024030102779991,6A1196337,ZOR,6,N,This image has been removed by ASX,E,2024-03-01,0 days 08:17:45,2024-03-01,0 days 08:26:59,2,['02003']
2024030102779992,2A1508850,AMP,2,N,Redemption of Internal Notes issued by AMP Bank to AMP Ltd,E,2024-03-01,0 days 07:59:58,2024-03-01,0 days 08:26:59,1,['06009']
2024030102779993,3A637936,NEM,3,N,NEM - 2023 Annual Report,E,2024-03-01,0 days 07:48:09,2024-03-01,0 days 08:27:08,1,['12008']
2024030102779994,3A637939,MWY,3,N,Initial Director's Interest - Andrew Preece,E,2024-03-01,0 days 08:24:36,2024-03-01,0 days 08:27:18,2,['02008']
2024030102779995,6A1196339,PEN,6,Y,Peninsula Strengthens Sales Contract Portfolio,E,2024-03-01,0 days 08:24:10,2024-03-01,0 days 08:30:08,2,['11001']
2024030102779996,3A637940,WNX,3,Y,Company Update,E,2024-03-01,0 days 08:26:38,2024-03-01,0 days 08:30:13,2,"['03028', '06003', '07001', '11001']"
2024030102779997,2A1508859,EGG,2,N,Update - Notification of buy-back - EGG,E,2024-03-01,0 days 08:33:41,2024-03-01,0 days 08:34:18,6,['06012']
2024030102779998,3A637941,BHP,3,N,BHP Board Update,E,2024-03-01,0 days 08:33:12,2024-03-01,0 days 08:34:58,2,['12001']
2024030102779999,3A637942,ALA,3,N,Release of Shares from Escrow,E,2024-03-01,0 days 08:32:58,2024-03-01,0 days 08:35:13,2,['06009']
2024030102780000,3A637943,SYR,3,Y,Syrah signs Balama binding offtake with Posco Future M,E,2024-03-01,0 days 08:32:10,2024-03-01,0 days 08:36:38,4,['11001']
2024030102780001,2A1508862,OPH,2,N,Month End NTA 29.02.2024,E,2024-03-01,0 days 08:35:39,2024-03-01,0 days 08:36:43,1,['03016']
2024030102780002,2A1508861,MQG,2,N,Subordinated Notes Cleansing Notice,E,2024-03-01,0 days 08:34:34,2024-03-01,0 days 08:38:38,99,['06018']
2024030102780003,6A1196340,NWM,6,N,New West Arunta Magnetics Study,E,2024-03-01,0 days 08:36:18,2024-03-01,0 days 08:38:48,7,['11001']
2024030102780004,2A1508865,RUL,2,N,Update - Notification of buy-back - RUL,E,2024-03-01,0 days 08:40:17,2024-03-01,0 days 08:41:18,6,['06012']
2024030102780005,2A1508866,RUL,2,N,Notification of cessation of securities - RUL,E,2024-03-01,0 days 08:42:22,2024-03-01,0 days 08:43:03,4,['06027']
2024030102780006,2A1508867,GTN,2,N,Update - Notification of buy-back - GTN,E,2024-03-01,0 days 08:42:50,2024-03-01,0 days 08:43:08,6,['06012']
2024030102780007,6A1196342,CGB,6,N,Removal from Official List,E,2024-03-01,0 days 08:41:26,2024-03-01,0 days 08:44:48,1,['09003']
2024030102780008,2A1508868,IBC,2,N,Notification of cessation of securities - IBC,E,2024-03-01,0 days 08:45:42,2024-03-01,0 days 08:46:18,4,['06027']
2024030102780009,6A1196345,MLX,6,Y,On-Market Share Buy-Back,E,2024-03-01,0 days 08:45:42,2024-03-01,0 days 08:47:08,1,['06011']
2024030102780010,2A1508869,AMP,2,N,Update - Notification of buy-back - AMP,E,2024-03-01,0 days 08:46:16,2024-03-01,0 days 08:47:23,6,['06012']
2024030102780011,6A1196346,MLX,6,N,Notification of buy-back - MLX,E,2024-03-01,0 days 08:47:39,2024-03-01,0 days 08:48:38,5,['06011']
2024030102780012,2A1508870,AAU,2,Y,ANTILLES GOLD ARRANGES UP TO $3M OF CONVERTIBLE LOAN NOTES,E,2024-03-01,0 days 08:46:13,2024-03-01,0 days 08:48:53,4,['06009']
2024030102780013,2A1508871,CTW,2,N,CitiFirst MINIs Cash Amounts for Stop Loss Event 29 Feb 24,E,2024-03-01,0 days 08:50:51,2024-03-01,0 days 08:51:48,1,['18001']
2024030102780014,2A1508874,VG1,2,N,Update - Notification of buy-back - VG1,E,2024-03-01,0 days 08:53:10,2024-03-01,0 days 08:54:23,6,['06012']
2024030102780015,2A1508875,RG8,2,N,Update - Notification of buy-back - RG8,E,2024-03-01,0 days 08:54:35,2024-03-01,0 days 08:55:28,6,['06012']
2024030102780016,6A1196347,PLL,6,N,Annual Report (Form 10-K),E,2024-03-01,0 days 08:49:47,2024-03-01,0 days 08:55:58,111,"['03001', '03011', '03012', '03020']"
2024030102780017,3A637944,CAN,3,Y,Suspension from Quotation,E,2024-03-01,0 days 08:51:24,2024-03-01,0 days 08:56:43,1,['09001']
2024030102780018,2A1508872,360,2,Y,Appendix 4E - SEC Form 10-K,E,2024-03-01,0 days 08:51:07,2024-03-01,0 days 08:57:58,134,"['03001', '03003', '03011', '03012']"
2024030102780019,2A1508873,360,2,Y,Media Release - CY2023 Results,E,2024-03-01,0 days 08:52:41,2024-03-01,0 days 08:59:03,15,"['14014', '03003']"
2024030102780020,2A1508852,BEX,2,Y,BEX successfully completes Institutional Entitlement Offer,E,2024-03-01,0 days 08:02:44,2024-03-01,0 days 08:59:18,3,"['06003', '06009', '09014']"
2024030102780021,3A637945,FND,3,N,Change of Share Registry Details,E,2024-03-01,0 days 08:55:18,2024-03-01,0 days 08:59:38,1,['12004']
2024030102780022,2A1508876,360,2,Y,Investor Presentation - CY2023 Results,E,2024-03-01,0 days 08:54:11,2024-03-01,0 days 09:01:14,54,"['03026', '03003']"
2024030102780023,6A1196350,SFG,6,N,SFG Appendix 3Y Change in Directors Interests,E,2024-03-01,0 days 08:57:11,2024-03-01,0 days 09:01:34,4,['02009']
2024030102780024,6A1196351,SUV,6,N,Becoming a substantial holder,E,2024-03-01,0 days 08:59:24,2024-03-01,0 days 09:02:14,3,['02001']
2024030102780025,2A1508860,CXM,2,N,Grant of ASX Waiver relating to General Meeting,E,2024-03-01,0 days 08:34:08,2024-03-01,0 days 09:02:24,2,['12016']
2024030102780026,2A1508877,360,2,N,Corporate Governance Statement,E,2024-03-01,0 days 08:55:50,2024-03-01,0 days 09:02:24,19,['03024']
2024030102780027,6A1196352,CAZ,6,N,Change of Director's Interest Notice,E,2024-03-01,0 days 08:59:29,2024-03-01,0 days 09:02:34,2,['02009']
2024030102780028,6A1196348,VML,6,N,Red Cloud Conference Presentation,E,2024-03-01,0 days 08:51:47,2024-03-01,0 days 09:02:44,23,['03026']
2024030102780029,6A1196304,SKN,6,Y,Interim financial report and Appendix 4D,E,2024-02-29,0 days 21:08:54,2024-03-01,0 days 09:03:44,36,"['03004', '03009', '03010', '03015', '03019']"
2024030102780030,6A1196353,CRD,6,Y,Aceh Gas Commercialisation MOU Signed with PGN,E,2024-03-01,0 days 09:00:11,2024-03-01,0 days 09:04:09,5,['11001']
2024030102780031,3A637946,NAB,3,N,Update - Notification of buy-back - NAB,E,2024-03-01,0 days 09:01:45,2024-03-01,0 days 09:04:19,6,['06012']
2024030102780032,2A1508879,AAU,2,N,Proposed issue of securities - AAU,E,2024-03-01,0 days 09:02:26,2024-03-01,0 days 09:04:34,6,['06013']
2024030102780033,6A1196354,AUE,6,Y,Aurum hits 4m at 22 g/t gold in Boundiali diamond drilling,E,2024-03-01,0 days 09:01:27,2024-03-01,0 days 09:05:14,18,['11001']
2024030102780034,6A1196355,88E,6,N,Notice of AGM and Closing Date for Director Nomination,E,2024-03-01,0 days 09:04:31,2024-03-01,0 days 09:06:14,1,"['08006', '12008']"
2024030102780035,6A1196356,FBR,6,N,Notification of cessation of securities - FBR,E,2024-03-01,0 days 09:05:29,2024-03-01,0 days 09:06:29,4,['06027']
2024030102780036,2A1508880,QAN,2,N,Initial Director's Interest Notice,E,2024-03-01,0 days 09:05:08,2024-03-01,0 days 09:06:49,2,['02008']
2024030102780037,6A1196319,MNB,6,N,Continuation of suspension,E,2024-03-01,0 days 00:05:23,2024-03-01,0 days 09:07:54,1,['11003']
2024030102780038,6A1196325,AHI,6,N,AHI Extension of Suspension,E,2024-03-01,0 days 00:25:50,2024-03-01,0 days 09:08:34,2,['11003']
2024030102780039,2A1508881,360,2,N,Appendix 4G,E,2024-03-01,0 days 09:08:25,2024-03-01,0 days 09:09:34,13,['03025']
2024030102780040,3A637947,DXI,3,N,Notification of cessation of securities - DXI,E,2024-03-01,0 days 09:08:48,2024-03-01,0 days 09:09:54,4,['06027']
2024030102780041,2A1508882,HGO,2,N,Cleansing Notice,E,2024-03-01,0 days 09:09:30,2024-03-01,0 days 09:11:04,1,['06018']
2024030102780042,6A1196357,FBR,6,Y,FBR receives R&D Tax Cash Refund of $8.7 million,E,2024-03-01,0 days 09:09:11,2024-03-01,0 days 09:11:19,1,['03014']
2024030102780043,2A1508883,HUM,2,N,Update - Notification of buy-back - HUM,E,2024-03-01,0 days 09:10:09,2024-03-01,0 days 09:11:34,6,['06012']
2024030102780044,6A1196358,SGA,6,Y,Trading Halt,E,2024-03-01,0 days 09:09:05,2024-03-01,0 days 09:11:39,2,['09007']
2024030102780045,3A637948,4DX,3,Y,4DMedical secures participation in pivotal burn pit research,E,2024-03-01,0 days 09:09:42,2024-03-01,0 days 09:11:54,2,['11001']
2024030102780046,6A1196359,AFL,6,N,"Investor call - HY results, acquisition & Entitlement Offer",E,2024-03-01,0 days 09:07:38,2024-03-01,0 days 09:12:04,1,['14014']
2024030102780047,2A1508884,RHC,2,N,Initial Director's Interest Notice - H Kurincic,E,2024-03-01,0 days 09:10:55,2024-03-01,0 days 09:12:19,2,['02008']
2024030102780048,2A1508885,HGO,2,N,Application for quotation of securities - HGO,E,2024-03-01,0 days 09:12:23,2024-03-01,0 days 09:13:19,6,['06020']
2024030102780049,3A637949,UBI,3,Y,Intention to raise capital,E,2024-03-01,0 days 09:11:59,2024-03-01,0 days 09:13:59,3,"['06003', '06008', '06009']"
2024030102780050,6A1196361,JNO,6,N,Appointment of Non-Executive Director,E,2024-03-01,0 days 09:14:00,2024-03-01,0 days 09:15:29,1,['12001']
2024030102780051,3A637950,UBI,3,Y,FY2023 Results Presentation,E,2024-03-01,0 days 09:13:48,2024-03-01,0 days 09:16:09,24,"['03026', '03003']"
2024030102780052,6A1196362,JNO,6,N,Initial Director's Interest Notice - Marc Ber,E,2024-03-01,0 days 09:15:08,2024-03-01,0 days 09:16:24,2,['02008']
2024030102780053,3A637927,RLT,3,N,Change of Director's Interest Notice,E,2024-02-29,0 days 23:31:01,2024-03-01,0 days 09:19:39,3,['02006']
2024030102780054,6A1196364,T92,6,Y,Acquisition of Yurkowksi Lake and Engler Lake Projects,E,2024-03-01,0 days 09:20:08,2024-03-01,0 days 09:22:14,7,"['07001', '11001']"
2024030102780055,2A1508887,JHX,2,N,Update - Notification of buy-back - JHX,E,2024-03-01,0 days 09:21:25,2024-03-01,0 days 09:22:44,6,['06012']
2024030102780056,3A637952,RWL,3,Y,Update to 1H FY24 Results,E,2024-03-01,0 days 09:22:53,2024-03-01,0 days 09:24:29,1,['12008']
2024030102780057,2A1508888,MEC,2,N,Update - Notification of buy-back - MEC,E,2024-03-01,0 days 09:23:42,2024-03-01,0 days 09:24:34,6,['06012']
2024030102780058,2A1508886,ATM,2,Y,Suspension from Quotation,E,2024-03-01,0 days 09:18:08,2024-03-01,0 days 09:25:04,1,['09001']
2024030102780059,6A1196370,PCL,6,N,Change of Share Registry Details,E,2024-03-01,0 days 09:24:43,2024-03-01,0 days 09:25:49,1,['12004']
2024030102780060,2A1508893,RF1,2,N,Update - Notification of buy-back - RF1,E,2024-03-01,0 days 09:25:31,2024-03-01,0 days 09:26:14,6,['06012']
2024030102780061,2A1508892,AHL,2,N,Reconciliation of results in pre and post AASB16,E,2024-03-01,0 days 09:22:42,2024-03-01,0 days 09:26:14,1,['03014']
2024030102780062,2A1508891,FOR,2,N,Indicative NAV COB 29 February 2024,E,2024-03-01,0 days 09:24:52,2024-03-01,0 days 09:26:24,1,['03016']
2024030102780063,2A1508894,HLI,2,N,Update - Notification of buy-back - HLI,E,2024-03-01,0 days 09:26:26,2024-03-01,0 days 09:27:14,6,['06012']
2024030102780064,3A637955,DUB,3,Y,Suspension from Quotation,E,2024-03-01,0 days 09:27:23,2024-03-01,0 days 09:28:49,1,['09001']
2024030102780065,6A1196371,VAL,6,Y,EM Survey To Commence At Cluff Lake Uranium Project,E,2024-03-01,0 days 09:26:10,2024-03-01,0 days 09:28:54,6,['11001']
2024030102780066,2A1508895,HGO,2,N,Notification regarding unquoted securities - HGO,E,2024-03-01,0 days 09:28:04,2024-03-01,0 days 09:28:54,6,['06021']
2024030102780067,6A1196373,AMD,6,Y,Strong Start to Drilling at Simandou North,E,2024-03-01,0 days 09:26:48,2024-03-01,0 days 09:29:19,23,['11001']
2024030102780068,2A1508896,SDV,2,N,Appointment of Non-Executive Director - Mike Utsler,E,2024-03-01,0 days 09:28:05,2024-03-01,0 days 09:29:29,2,['12001']
2024030102780069,2A1508897,SDV,2,N,Initial Director's Interest Notice,E,2024-03-01,0 days 09:29:15,2024-03-01,0 days 09:30:04,2,['02008']
2024030102780070,3A637957,FND,3,N,Appointment of Chief Financial Officer,E,2024-03-01,0 days 09:25:11,2024-03-01,0 days 09:31:14,1,['12008']
2024030102780071,2A1508898,FPP,2,N,FPP distribution components - December 2023,E,2024-03-01,0 days 09:29:16,2024-03-01,0 days 09:32:49,2,"['10001', '10002', '10003', '10005']"
2024030102780072,6A1196374,ACF,6,Y,Acquisition of Benchmark Scaffolding,E,2024-03-01,0 days 09:32:00,2024-03-01,0 days 09:34:14,2,"['06009', '07001']"
2024030102780073,6A1196363,OBM,6,Y,A$30m Placement to Advance Sand King Underground,E,2024-03-01,0 days 09:15:08,2024-03-01,0 days 09:34:49,2,"['06003', '06009', '09014']"
2024030102780074,6A1196360,OBM,6,N,Proposed issue of securities - OBM,E,2024-03-01,0 days 09:11:36,2024-03-01,0 days 09:34:59,5,['06013']
2024030102780075,6A1196377,ACF,6,N,Application for quotation of securities - ACF,E,2024-03-01,0 days 09:33:42,2024-03-01,0 days 09:35:39,6,['06020']
2024030102780076,3A637958,FRW,3,N,Disclosure Notice - D&O Relevant Interests,E,2024-03-01,0 days 09:33:50,2024-03-01,0 days 09:35:59,2,['02006']
2024030102780077,6A1196376,CTM,6,Y,Jaguar Feasibility Study to Focus on Concentrate Project,E,2024-03-01,0 days 09:31:00,2024-03-01,0 days 09:35:59,3,['11001']
2024030102780078,6A1196378,ACF,6,N,Cleansing Notice,E,2024-03-01,0 days 09:34:42,2024-03-01,0 days 09:36:24,1,['06018']
2024030102780079,2A1508899,NWS,2,N,Appendix 3C,E,2024-03-01,0 days 09:34:14,2024-03-01,0 days 09:36:59,4,['06012']
2024030102780080,2A1508900,NWS,2,N,Appendix 3C,E,2024-03-01,0 days 09:37:37,2024-03-01,0 days 09:40:04,4,['06012']
2024030102780081,3A637959,TCL,3,N,Euro Medium Term Note Programme Documentation,E,2024-03-01,0 days 09:37:33,2024-03-01,0 days 09:40:54,317,['06009']
2024030102780082,6A1196380,EMV,6,N,Becoming a substantial holder,E,2024-03-01,0 days 09:39:22,2024-03-01,0 days 09:41:44,11,['02001']
2024030102780083,6A1196381,MDR,6,N,MDR 1H FY24 Investor Webinar Recording,E,2024-03-01,0 days 09:40:25,2024-03-01,0 days 09:42:09,1,['14014']
2024030102780084,6A1196349,EUR,6,Y,Critical Metals Corp. Completes Business Combination,E,2024-03-01,0 days 08:58:04,2024-03-01,0 days 09:43:04,4,"['11001', '12008']"
2024030102780085,6A1196375,EUR,6,Y,Reinstatement to Quotation,E,2024-03-01,0 days 09:24:56,2024-03-01,0 days 09:43:09,1,['09002']
