id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
513,STATE STREET CORPORATION,VNT,2024-04-26,cease,5.65,5.0
514,STATE STREET CORPORATION,VNT,2024-05-14,new,5.31,5.0
516,STATE STREET CORPORATION,VNT,2024-05-23,cease,5.0,5.0
517,STATE STREET CORPORATION,VNT,2024-06-07,cease,5.0,5.0
518,STATE STREET CORPORATION,VNT,2024-06-19,cease,5.0,5.0
519,STATE STREET CORPORATION,VNT,2024-09-06,cease,5.0,5.0
520,STATE STREET CORPORATION,VNT,2024-12-30,change,5.4,6.47
521,STATE STREET CORPORATION,VNT,2025-01-22,change,6.47,5.44
522,STATE STREET CORPORATION,NWH,2024-09-06,new,,5.02
523,STATE STREET CORPORATION,NWH,2024-09-10,cease,5.02,5.0
524,STATE STREET CORPORATION,NWH,2024-09-12,new,5.0,5.01
525,STATE STREET CORPORATION,NWH,2024-09-13,cease,5.01,5.0
526,STATE STREET CORPORATION,NWH,2024-09-17,new,5.39,5.0
528,STATE STREET CORPORATION,NWH,2024-09-19,new,5.0,5.18
529,STATE STREET CORPORATION,NWH,2024-09-20,cease,5.18,5.0
530,STATE STREET CORPORATION,NWH,2024-10-07,new,5.0,5.1
531,STATE STREET CORPORATION,NWH,2024-10-14,cease,5.1,5.0
532,STATE STREET CORPORATION,NWH,2024-10-17,new,5.0,5.01
533,STATE STREET CORPORATION,NWH,2024-10-22,cease,5.01,5.0
534,STATE STREET CORPORATION,NWH,2024-10-23,new,5.0,5.06
535,STATE STREET CORPORATION,NWH,2024-10-31,cease,5.06,5.0
536,STATE STREET CORPORATION,NWH,2024-11-07,new,5.0,5.02
537,STATE STREET CORPORATION,NWH,2025-01-23,change,5.02,6.06
538,STATE STREET CORPORATION,DRO,2025-01-14,new,,5.06
539,STATE STREET CORPORATION,DRO,2025-02-21,cease,5.06,5.0
540,STATE STREET CORPORATION,DRO,2025-04-30,new,5.0,5.22
541,STATE STREET CORPORATION,DRO,2025-05-02,new,5.25,5.0
543,STATE STREET CORPORATION,DRO,2025-05-07,cease,5.0,5.0
544,STATE STREET CORPORATION,JLG,2025-02-20,new,,5.08
545,STATE STREET CORPORATION,JLG,2025-02-24,cease,5.08,5.0
546,STATE STREET CORPORATION,JLG,2025-03-10,new,5.0,5.23
547,STATE STREET CORPORATION,JLG,2025-03-20,cease,5.23,5.0
548,STATE STREET CORPORATION,JLG,2025-04-02,new,5.0,5.09
549,STATE STREET CORPORATION,JLG,2025-04-04,cease,5.09,5.0
550,STATE STREET CORPORATION,JLG,2025-04-07,new,5.0,5.9
551,STATE STREET CORPORATION,JLG,2025-04-17,new,5.9,5.56
552,STATE STREET CORPORATION,JLG,2025-04-22,cease,5.56,5.0
553,STATE STREET CORPORATION,JLG,2025-04-24,new,5.0,5.28
554,STATE STREET CORPORATION,JLG,2025-04-28,cease,5.28,5.0
555,STATE STREET CORPORATION,JLG,2025-04-30,new,5.0,5.44
556,STATE STREET CORPORATION,JLG,2025-05-02,cease,5.44,5.0
557,STATE STREET CORPORATION,ASB,2025-03-19,cease,,5.0
558,STATE STREET CORPORATION,ASB,2025-03-20,new,5.0,5.11
559,STATE STREET CORPORATION,ASB,2025-03-24,cease,5.11,5.0
560,STATE STREET CORPORATION,WOR,2024-05-14,cease,,5.0
561,STATE STREET CORPORATION,WOR,2024-05-20,cease,5.0,5.0
562,STATE STREET CORPORATION,WOR,2024-05-24,change,5.06,6.2
563,STATE STREET CORPORATION,WOR,2024-05-28,cease,6.2,5.0
564,STATE STREET CORPORATION,WOR,2024-05-31,cease,5.0,5.0
565,STATE STREET CORPORATION,WOR,2024-06-07,change,5.09,6.2
566,STATE STREET CORPORATION,WOR,2024-06-14,change,6.2,5.11
567,STATE STREET CORPORATION,WOR,2024-06-19,cease,5.11,5.0
568,STATE STREET CORPORATION,WOR,2024-07-04,cease,5.0,5.0
569,STATE STREET CORPORATION,WOR,2024-07-09,cease,5.0,5.0
570,STATE STREET CORPORATION,WOR,2024-07-30,cease,5.0,5.0
571,STATE STREET CORPORATION,WOR,2024-08-08,cease,5.0,5.0
572,STATE STREET CORPORATION,WOR,2024-08-16,change,5.11,6.14
573,STATE STREET CORPORATION,WOR,2024-08-20,change,6.14,5.04
574,STATE STREET CORPORATION,WOR,2024-10-04,change,5.041,6.121
575,STATE STREET CORPORATION,MND,2025-03-05,cease,,5.0
576,STATE STREET CORPORATION,MND,2025-03-20,cease,5.0,5.0
577,STATE STREET CORPORATION,MND,2025-03-24,cease,5.0,5.0
578,EACH OF THE PARTIES SET OUT IN ITEM 7,ECL,2024-03-08,new,,5.315
579,EACH OF THE PARTIES SET OUT IN ITEM 7,ECL,2024-06-12,new,5.315,5.01
580,PERPETUAL AND ITS RELATED BODIES CORPORATE,RDX,2024-03-14,new,,5.138
581,PERPETUAL AND ITS RELATED BODIES CORPORATE,RDX,2024-06-17,cease,5.138,5.0
582,PERPETUAL AND ITS RELATED BODIES CORPORATE,MXI,2024-04-04,change,8.622,9.93
583,PERPETUAL AND ITS RELATED BODIES CORPORATE,MXI,2024-05-21,change,9.93,11.06
584,PERPETUAL AND ITS RELATED BODIES CORPORATE,MXI,2024-06-03,change,11.06,12.57
585,PERPETUAL AND ITS RELATED BODIES CORPORATE,MXI,2024-09-03,change,12.57,9.026
586,PERPETUAL AND ITS RELATED BODIES CORPORATE,GWA,2024-04-09,change,12.055,13.901
587,PERPETUAL AND ITS RELATED BODIES CORPORATE,GWA,2024-05-21,change,13.901,15.249
588,PERPETUAL AND ITS RELATED BODIES CORPORATE,GWA,2024-07-02,change,15.249,16.271
589,PERPETUAL AND ITS RELATED BODIES CORPORATE,GWA,2025-03-21,change,16.271,17.359
590,PERPETUAL AND ITS RELATED BODIES CORPORATE,ANG,2024-03-11,cease,,5.0
591,FIRSTCAPE GROUP,IFT,2024-05-01,new,,6.14
592,FIRSTCAPE GROUP,IFT,2024-12-05,change,6.138,5.114
593,STEPHEN ELLIOTT YOUNG,TEA,2024-05-01,new,,41.6
594,MARK GABRIEL VARTULI / VARS ENTERPRISES / MEAGAN JOY VARTULI,TEA,2024-05-01,new,,18.4
595,CITIGROUP GLOBAL MARKETS,WOR,2024-05-01,new,,19.0934
596,CITIGROUP GLOBAL MARKETS,WOR,2024-05-02,cease,19.0934,5.0
597,CITIGROUP GLOBAL MARKETS,ASB,2025-03-19,new,,6.5022
598,CITIGROUP GLOBAL MARKETS,ASB,2025-03-21,cease,6.5022,5.0
599,CITIGROUP GLOBAL MARKETS,JLG,2025-03-24,new,,5.1894
600,CITIGROUP GLOBAL MARKETS,SRG,2025-03-25,new,,6.1376
601,CITIGROUP GLOBAL MARKETS,SRG,2025-03-26,cease,6.1376,5.0
602,GREENCAPE CAPITAL,EGL,2024-03-14,cease,,5.0
603,GREENCAPE CAPITAL,EGL,2024-05-02,new,5.0,5.01
604,GREENCAPE CAPITAL,EGL,2024-08-27,change,5.01,6.5
605,GREENCAPE CAPITAL,EGL,2024-11-22,change,6.5,7.79
606,GREENCAPE CAPITAL,EGL,2025-01-16,change,7.79,9.38
607,GREENCAPE CAPITAL,IPG,2024-12-04,new,,5.12
608,CHALLENGER,EGL,2024-03-14,cease,,5.0
609,CHALLENGER,EGL,2024-05-02,new,5.0,5.01
610,CHALLENGER,EGL,2024-08-27,change,5.01,6.5
611,CHALLENGER,EGL,2024-11-22,change,6.5,7.79
612,CHALLENGER,EGL,2025-01-16,change,7.79,9.38
613,CHALLENGER,IPG,2024-12-04,new,,5.12
614,L1 CAPITAL,WOR,2024-05-06,new,,5.1
615,L1 CAPITAL,WOR,2024-05-14,cease,5.1,5.0
616,BLACKROCK GROUP,VNT,2024-05-14,new,,5.0
617,BLACKROCK GROUP,VNT,2024-05-17,cease,5.0,5.0
618,BLACKROCK GROUP,VNT,2024-05-29,new,5.0,5.04
619,BLACKROCK GROUP,VNT,2024-05-30,cease,5.04,5.0
620,BLACKROCK GROUP,MND,2024-09-12,new,5.0,5.0
622,BLACKROCK GROUP,MND,2024-09-23,new,5.0,5.0
623,BLACKROCK GROUP,MND,2024-09-26,cease,5.0,5.0
624,BLACKROCK GROUP,MND,2024-10-01,new,5.0,5.0
626,BLACKROCK GROUP,MND,2024-10-03,new,5.0,5.02
627,BLACKROCK GROUP,MND,2025-04-15,cease,5.02,5.0
628,BLACKROCK GROUP,MND,2025-04-22,new,5.0,5.01
629,BLACKROCK GROUP,MND,2025-04-28,cease,5.01,5.0
630,WILSON ASSET MANAGEMENT GROUP,SSM,2024-06-07,new,,5.19
631,WILSON ASSET MANAGEMENT GROUP,SSM,2024-08-26,change,5.19,6.35
632,WILSON ASSET MANAGEMENT GROUP,SSM,2025-02-21,cease,6.35,5.0
633,WILSON ASSET MANAGEMENT GROUP,ANG,2024-05-13,change,8.75,5.77
634,WILSON ASSET MANAGEMENT GROUP,ANG,2024-06-11,change,5.77,6.8
635,WILSON ASSET MANAGEMENT GROUP,ANG,2024-08-16,change,6.8,7.91
636,WILSON ASSET MANAGEMENT GROUP,ANG,2024-12-23,change,7.91,9.14
637,WILSON ASSET MANAGEMENT GROUP,ANG,2025-03-12,change,9.14,10.23
638,JES INVESTMENT TRUST,SGI,2024-06-17,new,,5.01
639,MICHAEL REGINALD DOUST,SGI,2024-06-17,new,,7.51
640,MACQUARIE GROUP,OEC,2024-06-18,new,,5.36
641,MACQUARIE GROUP,OEC,2024-06-27,new,5.36,5.37
642,MACQUARIE GROUP,OEC,2024-07-25,cease,5.37,5.0
643,ROBERT WILLIAM BENTLEY MORRISON,IFT,2024-06-21,new,,5.04
644,ROBERT WILLIAM BENTLEY MORRISON,IFT,2024-07-16,cease,5.04,5.0
645,MA FINANCIAL GROUP,AAL,2024-07-01,new,,5.58
646,MA FINANCIAL GROUP,AAL,2024-09-24,change,5.58,6.65
647,MA FINANCIAL GROUP,AAL,2025-02-07,change,6.65,8.22
648,MA FINANCIAL GROUP,GWA,2024-10-28,new,,5.0
649,MA FINANCIAL GROUP,GWA,2024-10-30,cease,5.0,5.0
650,MA FINANCIAL GROUP,IPG,2024-11-27,new,,5.5
651,MA FINANCIAL GROUP,IPG,2024-11-28,change,5.5,8.54
652,MA FINANCIAL GROUP,IPG,2025-01-28,change,8.54,9.91
653,MA FINANCIAL GROUP,SXE,2024-04-02,change,7.48,6.53
654,MA FINANCIAL GROUP,SXE,2024-06-20,cease,6.53,5.0
655,MA FINANCIAL GROUP,ANG,2024-06-17,cease,,5.0
656,MA FINANCIAL GROUP,OEC,2024-06-20,cease,,5.0
657,MA FINANCIAL GROUP,KOV,2024-05-21,cease,,5.0
658,JINKS FAMILY GROUP,SKS,2024-07-03,new,,21.41
659,PAUL TORRANCE,AAL,2024-07-04,new,,49.36
660,SALTER BROTHERS EMERGING COMPANIES,AAL,2024-07-05,new,,7.9
661,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-07-12,new,,19.87
662,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-07-26,change,19.87,19.87
663,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-07,change,19.87,34.012
664,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-08,change,34.012,35.812
665,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-12,change,35.812,61.627
667,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-14,change,61.62,62.643
668,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-15,change,62.643,63.945
669,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-21,change,63.944,65.485
670,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-08-22,change,65.485,64.337
671,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-09-02,change,64.337,81.108
672,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-09-04,change,81.108,82.185
673,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-09-09,change,82.185,83.227
674,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION,DDB,2024-09-10,change,83.227,98.979
675,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA,FBU,2024-07-29,new,,5.14
676,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA,FBU,2024-09-24,change,5.14,7.16
677,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA,FBU,2024-10-03,change,7.16,10.24
678,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA,FBU,2024-10-04,change,7.16,7.8
679,CLEAR PORT AUS,OLH,2024-08-01,new,,5.53
680,HARVEST LANE ASSET MANAGEMENT,DDB,2024-08-05,new,,5.14
681,HARVEST LANE ASSET MANAGEMENT,DDB,2024-08-07,change,5.14,12.79
682,HARVEST LANE ASSET MANAGEMENT,DDB,2024-08-09,change,12.79,14.85
683,HARVEST LANE ASSET MANAGEMENT,DDB,2024-08-12,change,14.85,16.05
684,HARVEST LANE ASSET MANAGEMENT,DDB,2024-09-11,cease,16.05,5.0
685,FISHER FUNDS MANAGEMENT,JLG,2024-08-28,new,,5.0339
686,FISHER FUNDS MANAGEMENT,JLG,2024-08-30,change,5.0339,6.4917
687,FISHER FUNDS MANAGEMENT,JLG,2024-09-24,change,6.4917,7.5925
688,M&G INVESTMENTS,FBR,2024-09-02,new,,10.06
689,DAVID SINGLETON AND JILL SINGLETON,ANG,2024-09-10,new,,5.3028
690,PATRICK JOHN TALLON AND ASSOCIATES,CVL,2024-09-13,new,,19.23
691,JAMES FINBARR FITZGERALD AND OLIVE THERESA FITZGERALD AS TRUSTEES FOR THE JF AND OT FITZGERALD FAMILY TRUST,CVL,2024-09-13,new,,19.25
692,VANGUARD GROUP,WOR,2024-09-26,new,,5.065
693,VANGUARD GROUP,GWA,2024-11-22,new,,5.021
694,VANGUARD GROUP,DRO,2024-12-27,new,,5.466
695,VANGUARD GROUP,SSM,2025-03-11,new,,5.003
696,VANGUARD GROUP,SSM,2025-03-27,cease,5.003,5.0
697,VANGUARD GROUP,SSM,2025-04-17,new,5.0,5.053
698,VANGUARD GROUP,SRG,2025-04-17,new,,5.015
699,VANGUARD GROUP,MND,2024-12-27,change,5.035,6.114
700,VANGUARD GROUP,VNT,2024-12-30,change,5.008,6.009
701,VANGUARD GROUP,NWH,2025-03-13,change,5.177,6.179
702,PINNACLE INVESTMENT MANAGEMENT GROUP,SSM,2024-09-26,new,,5.07
703,LIND GLOBAL FUND II LP AND THE LIND PARTNERS LLC,14D,2024-10-01,new,,7.24
704,LIND GLOBAL FUND II LP AND THE LIND PARTNERS LLC,14D,2024-12-12,change,7.24,6.22
705,QVG CAPITAL,IPG,2024-10-08,new,,5.42
706,JAMES FAMILY INVESTMENTS,HNG,2024-10-14,new,,14.26
707,JAMES FAMILY INVESTMENTS,HNG,2025-04-30,change,14.26,12.5
708,FIRST SENTIER INVESTORS HOLDINGS,GWA,2024-10-17,cease,,5.0
709,FIRST SENTIER INVESTORS HOLDINGS,GWA,2024-10-25,new,5.0,5.0
710,FIRST SENTIER INVESTORS HOLDINGS,GWA,2024-10-29,cease,5.0,5.0
711,FIRST SENTIER INVESTORS HOLDINGS,SXE,2024-03-28,change,7.48,6.34
712,FIRST SENTIER INVESTORS HOLDINGS,SXE,2024-06-19,cease,6.34,5.0
713,FIRST SENTIER INVESTORS HOLDINGS,OEC,2024-06-19,cease,,5.0
714,FIRST SENTIER INVESTORS HOLDINGS,KOV,2024-05-20,cease,,5.0
715,FIRST SENTIER INVESTORS HOLDINGS,ANG,2024-06-14,cease,,5.0
716,FIRST SENTIER INVESTORS HOLDINGS,SRG,2024-05-30,cease,,5.0
717,PERPETUAL LIMITED,KOV,2024-11-12,new,,5.006
718,PLATYPUS ASSET MANAGEMENT,IPG,2024-11-18,new,,5.34
719,PLATYPUS ASSET MANAGEMENT,IPG,2024-11-26,cease,5.34,5.0
720,IDA PRATIGNJO LAU,BMH,2024-11-22,new,,8.16
721,ANDREW FAIRBAIRN,SYL,2024-11-25,new,,15.55
722,JOSEPH BARTOLO,SYL,2024-11-25,new,,31.02
723,RAYMOND DANDO,SYL,2024-11-25,new,,15.55
724,AHRENS GROUP,SND,2024-12-04,new,,5.34
725,AHRENS GROUP,SND,2025-03-27,change,5.34,7.25
726,REGAL FUNDS MANAGEMENT AND ASSOCIATES,AL3,2024-12-30,new,,5.51
727,REGAL FUNDS MANAGEMENT AND ASSOCIATES,DRO,2025-02-24,new,,5.69
728,REGAL FUNDS MANAGEMENT AND ASSOCIATES,DRO,2025-03-03,change,5.69,7.22
729,REGAL FUNDS MANAGEMENT AND ASSOCIATES,DRO,2025-03-12,change,7.22,8.31
730,REGAL FUNDS MANAGEMENT AND ASSOCIATES,DRO,2025-04-08,change,8.31,9.38
731,REGAL FUNDS MANAGEMENT AND ASSOCIATES,VNT,2024-02-06,cease,,5.0
732,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-01-21,new,,5.06
733,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-01-28,cease,5.06,5.0
734,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-02-04,new,5.0,5.29
735,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-03-13,change,5.29,6.34
736,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-04-01,change,6.34,5.24
737,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-04-07,cease,5.24,5.0
738,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-04-28,new,5.0,5.31
739,JPMORGAN CHASE & CO AND ITS AFFILIATES,DRO,2025-05-05,cease,5.31,5.0
740,JPMORGAN CHASE & CO AND ITS AFFILIATES,JLG,2025-02-07,cease,,5.0
741,JPMORGAN CHASE & CO AND ITS AFFILIATES,JLG,2025-03-14,cease,5.0,5.0
742,AUSTRALIANSUPER,JLG,2025-01-28,new,,5.12
743,AUSTRALIANSUPER,JLG,2025-03-07,cease,5.12,5.0
744,AUSTRALIANSUPER,RWC,2024-10-17,change,9.9,10.94
745,INDUSTRY SUPER HOLDINGS,3DA,2025-02-18,new,,5.32
746,HOST-PLUS,3DA,2025-02-21,new,,5.32
747,PHOENIX PORTFOLIOS,BOL,2025-02-25,new,,5.32
748,PHOENIX PORTFOLIOS,KOV,2024-10-02,cease,,5.0
749,MAYBANK SECURITIES,MPW,2025-03-10,new,,7.18
750,AUSTRALIAN RETIREMENT TRUST,NWH,2024-11-11,change,5.001,6.157
751,AUSTRALIAN RETIREMENT TRUST,NWH,2025-01-31,change,6.157,5.157
752,AUSTRALIAN RETIREMENT TRUST,NWH,2025-02-06,cease,5.157,5.0
753,AUSTRALIAN RETIREMENT TRUST,NWH,2025-03-28,new,5.0,5.03
754,AUSTRALIAN RETIREMENT TRUST,SSM,2025-04-02,new,,5.215
755,AUSTRALIAN RETIREMENT TRUST,SSM,2025-04-24,cease,5.215,5.0
756,JARDEN,ASB,2025-04-08,new,,9.04
757,FOS CAPITAL,FOS,2025-04-10,new,,7.05
758,H&G HIGH CONVICTION,HNG,2025-04-17,new,,11.7
759,H&G HIGH CONVICTION,HNG,2025-05-01,cease,11.7,5.0
760,MUTUAL STREET,BMH,2025-04-22,new,,8.78
761,NORTHCAPE CAPITAL,VNT,2024-04-05,cease,,5.0
762,NORTHCAPE CAPITAL,VNT,2025-04-24,new,5.0,5.0
763,NORTHCAPE CAPITAL,VNT,2025-04-30,cease,5.0,5.0
764,ALLAN GRAY AUSTRALIA,FBU,2024-02-13,change,11.927,13.131
765,ALLAN GRAY AUSTRALIA,FBU,2024-04-17,change,13.131,14.161
766,ALLAN GRAY AUSTRALIA,FBU,2024-08-27,change,14.161,15.168
767,ALLAN GRAY AUSTRALIA,FBU,2024-10-01,change,15.168,17.701
768,ALLAN GRAY AUSTRALIA,SSM,2024-03-04,change,18.65,17.48
769,ALLAN GRAY AUSTRALIA,SSM,2024-03-21,change,17.48,16.1
770,ALLAN GRAY AUSTRALIA,SSM,2024-04-22,change,16.1,14.94
771,ALLAN GRAY AUSTRALIA,SSM,2024-07-19,change,14.94,13.69
772,ALLAN GRAY AUSTRALIA,SSM,2024-09-02,change,13.69,12.68
773,ALLAN GRAY AUSTRALIA,SSM,2024-10-23,change,12.68,11.65
774,ALLAN GRAY AUSTRALIA,SSM,2024-11-14,change,11.65,9.8
775,ALLAN GRAY AUSTRALIA,SSM,2025-02-19,change,9.8,8.59
776,ALLAN GRAY AUSTRALIA,SSM,2025-03-04,change,8.59,6.83
777,ALLAN GRAY AUSTRALIA,SSM,2025-04-03,change,6.83,5.59
778,ALLAN GRAY AUSTRALIA,SSM,2025-04-29,cease,5.59,5.0
779,EGP CAPITAL,SGI,2024-02-22,change,8.5,7.4
780,EGP CAPITAL,SGI,2024-09-05,change,7.4,6.38
781,YARRA CAPITAL MANAGEMENT,RWC,2024-02-26,change,9.48,8.37
782,YARRA CAPITAL MANAGEMENT,RWC,2024-04-26,change,8.37,6.82
783,YARRA CAPITAL MANAGEMENT,RWC,2025-03-12,change,6.82,5.7
784,YARRA CAPITAL MANAGEMENT,RWC,2025-04-30,cease,5.7,5.0
785,SKM INVESTMENT GROUP,FOS,2024-02-27,change,57.15,57.26
786,PERENNIAL VALUE MANAGEMENT,VEE,2024-02-27,change,10.74,9.47
787,PERENNIAL VALUE MANAGEMENT,VEE,2024-05-03,change,94.7,10.65
788,PERENNIAL VALUE MANAGEMENT,VEE,2024-05-13,change,10.65,11.66
789,PERENNIAL VALUE MANAGEMENT,VEE,2024-06-14,change,11.66,12.73
790,PERENNIAL VALUE MANAGEMENT,VEE,2024-07-16,change,12.73,13.74
791,PERENNIAL VALUE MANAGEMENT,VEE,2024-09-23,change,13.74,14.97
792,PERENNIAL VALUE MANAGEMENT,HNG,2024-07-01,change,9.62,10.64
793,PERENNIAL VALUE MANAGEMENT,HNG,2024-10-15,change,10.64,9.28
794,PERENNIAL VALUE MANAGEMENT,HNG,2025-02-05,change,9.28,10.34
795,PERENNIAL VALUE MANAGEMENT,HNG,2025-05-02,change,10.34,12.27
796,PERENNIAL VALUE MANAGEMENT,SRG,2024-09-24,change,7.01,5.94
797,PERENNIAL VALUE MANAGEMENT,SRG,2024-09-30,cease,5.94,5.0
798,PERENNIAL VALUE MANAGEMENT,ACF,2025-01-17,change,9.57,8.35
799,OMNIVEST,REM,2024-02-28,change,9.67,6.13
800,VALRICH SUPERANNUATION,REM,2024-02-28,change,18.36,12.43
801,VALRICH SUPERANNUATION,REM,2024-05-16,change,12.43,17.28
802,ADRIAN JOHN HOLLIS,REM,2024-02-28,change,16.12,10.42
803,SERY GROUP,HNG,2024-03-05,change,10.83,9.8
804,SERY GROUP,HNG,2024-05-22,cease,9.8,5.0
805,AD & MP BEARD ATF AD & MP BEARD SUPERANNUATION FUND,HNG,2024-03-05,change,9.47,10.67
806,AD & MP BEARD ATF AD & MP BEARD SUPERANNUATION FUND,HNG,2024-09-17,change,10.67,8.64
807,AD & MP BEARD ATF AD & MP BEARD SUPERANNUATION FUND,HNG,2025-04-29,change,8.64,6.85
808,JAMES ROBERT BALDWIN,HNG,2024-03-05,change,6.36,5.1
809,JAMES ROBERT BALDWIN,HNG,2024-09-17,cease,5.1,5.0
810,NAOS SUBSTANTIAL HOLDERS,MXI,2024-03-05,change,19.82,18.18
811,NAOS SUBSTANTIAL HOLDERS,MXI,2024-06-05,change,18.18,15.77
812,NAOS SUBSTANTIAL HOLDERS,MXI,2024-09-05,change,15.77,19.9
813,NAOS SUBSTANTIAL HOLDERS,MXI,2025-04-23,change,19.9,21.76
814,NAOS SUBSTANTIAL HOLDERS,SND,2024-11-22,change,23.05,18.56
815,NAOS SUBSTANTIAL HOLDERS,SND,2025-03-21,change,18.56,15.55
816,NAOS SUBSTANTIAL HOLDERS,SND,2025-03-28,change,18.56,15.55
817,UNIVERSAL-INVESTMENT-GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,LBL,2024-03-20,change,5.03,4.999
818,SEE ANNEXURE A,HNG,2024-03-26,change,9.0,6.9
819,SEE ANNEXURE A,HNG,2024-08-07,change,9.0,5.5
820,COMMONWEALTH BANK OF AUSTRALIA,SXE,2024-03-27,change,7.39,6.24
821,COMMONWEALTH BANK OF AUSTRALIA,SXE,2024-06-21,cease,6.24,5.0
822,COMMONWEALTH BANK OF AUSTRALIA,OEC,2024-07-11,change,3.93,3.34
823,COMMONWEALTH BANK OF AUSTRALIA,OEC,2024-07-24,change,8.34,7.03
824,COMMONWEALTH BANK OF AUSTRALIA,OEC,2024-11-26,change,7.03,6.0
825,COMMONWEALTH BANK OF AUSTRALIA,OEC,2024-12-16,cease,6.0,5.0
826,COMMONWEALTH BANK OF AUSTRALIA,ANG,2024-04-16,cease,,5.0
827,COMMONWEALTH BANK OF AUSTRALIA,KOV,2024-05-20,cease,,5.0
828,COMMONWEALTH BANK OF AUSTRALIA,SRG,2024-06-21,cease,,5.0
829,SUPERANNUATION AND INVESTMENTS HOLDIC,SXE,2024-03-27,change,7.84,6.24
830,SUPERANNUATION AND INVESTMENTS HOLDIC,SXE,2024-06-21,cease,6.24,5.0
831,SUPERANNUATION AND INVESTMENTS HOLDIC,OEC,2024-07-11,change,9.39,8.34
832,SUPERANNUATION AND INVESTMENTS HOLDIC,OEC,2024-07-24,change,8.34,7.03
